code,group_path,name,has_link
PRCG20_1200150001,工業製品>飲食料品>食料品>酪農品,処理牛乳,True
PRCG20_1200150002,工業製品>飲食料品>食料品>酪農品,乳飲料・乳酸菌飲料,False
PRCG20_1200150003,工業製品>飲食料品>食料品>酪農品,粉乳,True
PRCG20_1200150004,工業製品>飲食料品>食料品>酪農品,バター,True
PRCG20_1200150005,工業製品>飲食料品>食料品>酪農品,チーズ,True
PRCG20_1200150006,工業製品>飲食料品>食料品>酪農品,生クリーム,True
PRCG20_1200150007,工業製品>飲食料品>食料品>酪農品,アイスクリーム,True
PRCG20_1200150008,工業製品>飲食料品>食料品>酪農品,ヨーグルト,True
PRCG20_1200150009,工業製品>飲食料品>食料品>その他の畜産食料品,肉製品,True
PRCG20_1200150010,工業製品>飲食料品>食料品>水産びん・かん詰,水産びん・かん詰,True
PRCG20_1200150011,工業製品>飲食料品>食料品>ねり製品,ねり製品,False
PRCG20_1200150012,工業製品>飲食料品>食料品>その他の水産食料品,かつおパック,False
PRCG20_1200150013,工業製品>飲食料品>食料品>その他の水産食料品,水産物漬物,False
PRCG20_1200150014,工業製品>飲食料品>食料品>その他の水産食料品,つくだ煮,True
PRCG20_1200150015,工業製品>飲食料品>食料品>製粉,小麦粉,True
PRCG20_1200150016,工業製品>飲食料品>食料品>めん類,即席めん,True
PRCG20_1200150017,工業製品>飲食料品>食料品>めん類,和風めん,True
PRCG20_1200150018,工業製品>飲食料品>食料品>めん類,中華めん,True
PRCG20_1200150019,工業製品>飲食料品>食料品>めん類,洋風めん,True
PRCG20_1200150020,工業製品>飲食料品>食料品>パン類,食パン,True
PRCG20_1200150021,工業製品>飲食料品>食料品>パン類,菓子パン,True
PRCG20_1200150022,工業製品>飲食料品>食料品>パン類,調理パン・サンドイッチ,True
PRCG20_1200150023,工業製品>飲食料品>食料品>菓子類,洋生菓子,True
PRCG20_1200150024,工業製品>飲食料品>食料品>菓子類,和生菓子,True
PRCG20_1200150025,工業製品>飲食料品>食料品>菓子類,ビスケット類,True
