code,group_path,name,has_link
PRCG20_2400150001,総平均>繊維品>繊維製品>織物,織物,True
PRCG20_2400150002,総平均>繊維品>繊維製品>その他の繊維工業製品,フェルト生地・不織布,True
PRCG20_2400250001,総平均>化学製品>化学製品>ソーダ工業製品,か性ソーダ,True
PRCG20_2400250002,総平均>化学製品>化学製品>無機顔料,酸化チタン,True
PRCG20_2400250003,総平均>化学製品>化学製品>その他の無機化学工業製品,二酸化けい素,True
PRCG20_2400250004,総平均>化学製品>化学製品>石油化学基礎製品,エチレン,True
PRCG20_2400250005,総平均>化学製品>化学製品>石油化学基礎製品,プロピレン,True
PRCG20_2400250006,総平均>化学製品>化学製品>石油化学系芳香族製品,ベンゼン,True
PRCG20_2400250007,総平均>化学製品>化学製品>石油化学系芳香族製品,トルエン,True
PRCG20_2400250008,総平均>化学製品>化学製品>脂肪族中間物,塩化ビニルモノマー,True
PRCG20_2400250009,総平均>化学製品>化学製品>脂肪族中間物,メチルメタクリレート,True
PRCG20_2400250010,総平均>化学製品>化学製品>環式中間物・合成染料・有機顔料,スチレンモノマー,True
PRCG20_2400250011,総平均>化学製品>化学製品>環式中間物・合成染料・有機顔料,トルイレンジイソシアネート,True
PRCG20_2400250012,総平均>化学製品>化学製品>環式中間物・合成染料・有機顔料,カプロラクタム,True
PRCG20_2400250013,総平均>化学製品>化学製品>環式中間物・合成染料・有機顔料,フェノール・ビスフェノールＡ,True
PRCG20_2400250014,総平均>化学製品>化学製品>環式中間物・合成染料・有機顔料,ジフェニルメタンジイソシアネート,True
PRCG20_2400250015,総平均>化学製品>化学製品>環式中間物・合成染料・有機顔料,パラキシレン,True
PRCG20_2400250016,総平均>化学製品>化学製品>環式中間物・合成染料・有機顔料,合成染料,True
PRCG20_2400250017,総平均>化学製品>化学製品>合成ゴム,合成ゴム,True
PRCG20_2400250018,総平均>化学製品>化学製品>熱硬化性樹脂,フェノール樹脂,True
PRCG20_2400250019,総平均>化学製品>化学製品>熱硬化性樹脂,エポキシ樹脂,True
PRCG20_2400250020,総平均>化学製品>化学製品>熱硬化性樹脂,シリコーン,True
PRCG20_2400250021,総平均>化学製品>化学製品>熱可塑性樹脂,ポリエチレン,False
PRCG20_2400250022,総平均>化学製品>化学製品>熱可塑性樹脂,ポリスチレン,False
PRCG20_2400250023,総平均>化学製品>化学製品>熱可塑性樹脂,ポリプロピレン,True
PRCG20_2400250024,総平均>化学製品>化学製品>熱可塑性樹脂,塩化ビニル樹脂,True
PRCG20_2400250025,総平均>化学製品>化学製品>高機能性樹脂,飽和ポリエステル樹脂,True
PRCG20_2400250026,総平均>化学製品>化学製品>高機能性樹脂,ポリアミド樹脂,True
PRCG20_2400250027,総平均>化学製品>化学製品>高機能性樹脂,ポリカーボネート,True
PRCG20_2400250028,総平均>化学製品>化学製品>その他の合成樹脂,ポリビニルアルコール,True
PRCG20_2400250029,総平均>化学製品>化学製品>その他の合成樹脂,フッ素樹脂,True
PRCG20_2400250030,総平均>化学製品>化学製品>化学繊維,化学繊維,True
PRCG20_2400250031,総平均>化学製品>化学製品>医薬品,医薬品（除動物用）,True
PRCG20_2400250032,総平均>化学製品>化学製品>油脂加工製品・界面活性剤,界面活性剤,True
PRCG20_2400250033,総平均>化学製品>化学製品>化粧品・歯磨,化粧品・歯磨,True
PRCG20_2400250034,総平均>化学製品>化学製品>塗料,塗料,True
PRCG20_2400250035,総平均>化学製品>化学製品>印刷インキ,印刷インキ,True
PRCG20_2400250036,総平均>化学製品>化学製品>農薬,農薬,True
PRCG20_2400250037,総平均>化学製品>化学製品>ゼラチン・接着剤,接着剤,True
PRCG20_2400250038,総平均>化学製品>化学製品>写真感光材料,写真感光材料,True
PRCG20_2400250039,総平均>化学製品>化学製品>その他の化学最終製品,触媒,False
PRCG20_2400250040,総平均>化学製品>化学製品>その他の化学最終製品,香料,True
PRCG20_2400350001,総平均>金属・同製品>鉄鋼>フェロアロイ,フェロニッケル,True
PRCG20_2400350002,総平均>金属・同製品>鉄鋼>熱間圧延鋼材,普通鋼半製品,True
PRCG20_2400350003,総平均>金属・同製品>鉄鋼>熱間圧延鋼材,形鋼,True
PRCG20_2400350004,総平均>金属・同製品>鉄鋼>熱間圧延鋼材,線材,True
PRCG20_2400350005,総平均>金属・同製品>鉄鋼>熱間圧延鋼材,厚中板,True
PRCG20_2400350006,総平均>金属・同製品>鉄鋼>熱間圧延鋼材,熱延広幅帯鋼,True
PRCG20_2400350007,総平均>金属・同製品>鉄鋼>熱間圧延鋼材,構造用鋼,True
PRCG20_2400350008,総平均>金属・同製品>鉄鋼>熱間圧延鋼材,特殊用途鋼,False
PRCG20_2400350009,総平均>金属・同製品>鉄鋼>鋼管,普通鋼鋼管,True
PRCG20_2400350010,総平均>金属・同製品>鉄鋼>鋼管,ステンレス鋼管,True
PRCG20_2400350011,総平均>金属・同製品>鉄鋼>冷間仕上鋼材,磨棒鋼,True
PRCG20_2400350012,総平均>金属・同製品>鉄鋼>冷間仕上鋼材,冷延電気鋼帯・広幅帯鋼,False
PRCG20_2400350013,総平均>金属・同製品>鉄鋼>冷間仕上鋼材,ステンレス冷延鋼板,True
PRCG20_2400350014,総平均>金属・同製品>鉄鋼>めっき鋼材,亜鉛めっき鋼板,False
PRCG20_2400350015,総平均>金属・同製品>鉄鋼>めっき鋼材,ブリキ・クロムめっき鋼板,True
PRCG20_2400350016,総平均>金属・同製品>非鉄金属>銅,銅,True
PRCG20_2400350017,総平均>金属・同製品>非鉄金属>その他の非鉄金属地金,金地金,True
PRCG20_2400350018,総平均>金属・同製品>非鉄金属>伸銅品,銅伸銅品,True
PRCG20_2400350019,総平均>金属・同製品>非鉄金属>アルミ圧延製品,アルミ圧延製品,True
PRCG20_2400350020,総平均>金属・同製品>非鉄金属>その他の非鉄金属製品,貴金属展伸材,True
PRCG20_2400350021,総平均>金属・同製品>金属製品>ガス・石油機器・暖房・調理装置,ガス・石油機器,True
PRCG20_2400350022,総平均>金属・同製品>金属製品>ボルト・ナット・リベット・スプリング,ボルト・ナット・ねじ,True
PRCG20_2400350023,総平均>金属・同製品>金属製品>配管工事附属品・粉末や金製品・道具類,粉末や金製品,True
PRCG20_2400350024,総平均>金属・同製品>金属製品>その他の金属製品,錠・かぎ・建築用金物,True
PRCG20_2400350025,総平均>金属・同製品>鉄屑>鉄屑,鉄屑,True
PRCG20_2400350026,総平均>金属・同製品>非鉄金属屑>非鉄金属屑,銅屑,True
PRCG20_2400450001,総平均>はん用・生産用・業務用機器>はん用機器>タービン,タービン,True
PRCG20_2400450002,総平均>はん用・生産用・業務用機器>はん用機器>原動機,はん用内燃機関,True
PRCG20_2400450003,総平均>はん用・生産用・業務用機器>はん用機器>ポンプ・圧縮機,ポンプ,True
PRCG20_2400450004,総平均>はん用・生産用・業務用機器>はん用機器>ポンプ・圧縮機,圧縮機,False
PRCG20_2400450005,総平均>はん用・生産用・業務用機器>はん用機器>ポンプ・圧縮機,油空圧機器,True
PRCG20_2400450006,総平均>はん用・生産用・業務用機器>はん用機器>冷凍機・温湿調整装置,業務用エアコン,True
PRCG20_2400450007,総平均>はん用・生産用・業務用機器>はん用機器>ベアリング,玉軸受,True
PRCG20_2400450008,総平均>はん用・生産用・業務用機器>はん用機器>ベアリング,ころ軸受,True
PRCG20_2400450009,総平均>はん用・生産用・業務用機器>はん用機器>その他のはん用機械,動力伝導装置,True
PRCG20_2400450010,総平均>はん用・生産用・業務用機器>はん用機器>その他のはん用機械,バルブ,True
PRCG20_2400450011,総平均>はん用・生産用・業務用機器>生産用機器>農業用機械,農業用トラクタ,True
PRCG20_2400450012,総平均>はん用・生産用・業務用機器>生産用機器>建設・鉱山機械,掘さく機,True
PRCG20_2400450013,総平均>はん用・生産用・業務用機器>生産用機器>建設・鉱山機械,建設用クレーン,True
PRCG20_2400450014,総平均>はん用・生産用・業務用機器>生産用機器>建設・鉱山機械,建設用トラクタ,True
PRCG20_2400450015,総平均>はん用・生産用・業務用機器>生産用機器>繊維機械,繊維機械,True
PRCG20_2400450016,総平均>はん用・生産用・業務用機器>生産用機器>生活関連産業用機械,印刷関連機械,True
PRCG20_2400450017,総平均>はん用・生産用・業務用機器>生産用機器>生活関連産業用機械,包装・荷造機械,True
