code,group_path,name,has_link
PRCG20_2600150001,総平均>飲食料品・食料用農水産物>飲食料品>酪農品,チーズ,True
PRCG20_2600150002,総平均>飲食料品・食料用農水産物>飲食料品>その他の畜産食料品,肉加工品,True
PRCG20_2600150003,総平均>飲食料品・食料用農水産物>飲食料品>水産びん・かん詰,水産びん・かん詰,True
PRCG20_2600150004,総平均>飲食料品・食料用農水産物>飲食料品>めん類,洋風めん,True
PRCG20_2600150005,総平均>飲食料品・食料用農水産物>飲食料品>菓子類,チョコレート,True
PRCG20_2600150006,総平均>飲食料品・食料用農水産物>飲食料品>農産保存食料品,果実・野菜缶詰,True
PRCG20_2600150007,総平均>飲食料品・食料用農水産物>飲食料品>砂糖,粗糖,True
PRCG20_2600150008,総平均>飲食料品・食料用農水産物>飲食料品>動植物油脂,植物油搾かす,True
PRCG20_2600150009,総平均>飲食料品・食料用農水産物>飲食料品>動植物油脂,オリーブ油・パーム油,False
PRCG20_2600150010,総平均>飲食料品・食料用農水産物>飲食料品>調味料,調味料,True
PRCG20_2600150011,総平均>飲食料品・食料用農水産物>飲食料品>冷凍調理食品,冷凍調理食品,False
PRCG20_2600150012,総平均>飲食料品・食料用農水産物>飲食料品>その他の食料品,こうじ・麦芽,True
PRCG20_2600150013,総平均>飲食料品・食料用農水産物>飲食料品>ウイスキー類,ウイスキー類,True
PRCG20_2600150014,総平均>飲食料品・食料用農水産物>飲食料品>その他の酒類,果実酒,True
PRCG20_2600150015,総平均>飲食料品・食料用農水産物>飲食料品>その他の酒類,焼ちゅう・混成酒,True
PRCG20_2600150016,総平均>飲食料品・食料用農水産物>飲食料品>茶・コーヒー,茶・コーヒー,True
PRCG20_2600150017,総平均>飲食料品・食料用農水産物>飲食料品>清涼飲料,ジュース・ミネラルウォーター,False
PRCG20_2600150018,総平均>飲食料品・食料用農水産物>飲食料品>飼料,ペットフード,True
PRCG20_2600150019,総平均>飲食料品・食料用農水産物>飲食料品>飼料,フィッシュミール,True
PRCG20_2600150020,総平均>飲食料品・食料用農水産物>飲食料品>たばこ,たばこ,True
PRCG20_2600150021,総平均>飲食料品・食料用農水産物>食料用農水産物>麦類,小麦,True
PRCG20_2600150022,総平均>飲食料品・食料用農水産物>食料用農水産物>麦類,大麦,True
PRCG20_2600150023,総平均>飲食料品・食料用農水産物>食料用農水産物>豆類・果実,大豆,True
