month,usdjpy
198001,237.73
198002,244.07
198003,248.61
198004,251.45
198005,228.06
198006,218.11
198007,220.91
198008,224.34
198009,214.95
198010,209.21
198011,212.99
198012,209.79
198101,202.19
198102,205.76
198103,208.84
198104,215.07
198105,220.78
198106,224.21
198107,232.11
198108,233.62
198109,229.83
198110,231.4
198111,223.76
198112,219.02
198201,224.55
198202,235.25
198203,240.64
198204,244.9
198205,236.97
198206,251.11
198207,255.1
198208,258.67
198209,262.74
198210,271.33
198211,265.02
198212,242.49
198301,232.9
198302,236.27
198303,237.92
198304,237.7
198305,234.78
198306,240.06
198307,240.49
198308,244.36
198309,242.71
198310,233.0
198311,235.25
198312,234.34
198401,233.95
198402,233.67
198403,225.52
198404,224.95
198405,230.67
198406,233.29
198407,242.72
198408,242.24
198409,245.19
198410,246.89
198411,243.29
198412,247.96
198501,254.11
198502,260.34
198503,258.43
198504,251.67
198505,251.57
198506,248.95
198507,241.7
198508,237.2
198509,236.91
198510,214.84
198511,203.85
198512,202.75
198601,200.05
198602,184.62
198603,178.83
198604,175.56
198605,166.89
198606,167.82
198607,158.65
198608,154.11
198609,154.78
198610,156.04
198611,162.72
198612,162.13
198701,154.48
198702,153.49
198703,151.56
198704,142.96
198705,140.47
198706,144.52
198707,150.2
198708,147.57
198709,143.03
198710,143.48
198711,135.25
198712,128.25
198801,127.44
198802,129.26
198803,127.23
198804,124.88
198805,124.74
198806,127.2
198807,133.1
198808,133.63
198809,134.45
198810,128.85
198811,123.16
198812,123.63
198901,127.24
198902,127.77
198903,130.35
198904,132.01
198905,138.4
198906,143.92
198907,140.63
198908,141.2
198909,145.06
198910,141.99
198911,143.55
198912,143.62
199001,145.09
199002,145.54
199003,153.19
199004,158.5
199005,153.52
199006,153.78
199007,149.23
199008,147.46
199009,138.96
199010,129.73
199011,129.01
199012,133.72
199101,133.65
199102,130.44
199103,137.09
199104,137.15
199105,138.02
199106,139.83
199107,137.98
199108,136.85
199109,134.59
199110,130.81
199111,129.64
199112,128.07
199201,125.05
199202,127.53
199203,132.75
199204,133.59
199205,130.55
199206,126.9
199207,125.66
199208,126.34
199209,122.72
199210,121.14
199211,123.84
199212,123.98
199301,125.02
199302,120.97
199303,117.02
199304,112.37
199305,110.23
199306,107.29
199307,107.77
199308,103.72
199309,105.27
199310,106.94
199311,107.81
199312,109.72
199401,111.49
199402,106.14
199403,105.12
199404,103.48
199405,104.0
199406,102.69
199407,98.54
199408,99.86
199409,98.79
199410,98.4
199411,98.0
199412,100.17
199501,99.79
199502,98.23
199503,90.77
199504,83.53
199505,85.21
199506,84.54
199507,87.24
199508,94.56
199509,100.31
199510,100.68
199511,101.89
199512,101.86
199601,105.81
199602,105.7
199603,105.85
199604,107.4
199605,106.49
199606,108.82
199607,109.25
199608,107.84
199609,109.76
199610,112.3
199611,112.27
199612,113.74
199701,118.18
199702,123.01
199703,122.66
199704,125.47
199705,118.91
199706,114.31
199707,115.1
199708,117.89
199709,120.74
199710,121.13
199711,125.35
199712,129.52
199801,129.45
199802,125.85
199803,128.83
199804,131.81
199805,135.08
199806,140.35
199807,140.66
199808,144.76
199809,134.5
199810,121.33
199811,120.61
199812,117.4
199901,113.14
199902,116.73
199903,119.71
199904,119.66
199905,122.14
199906,120.81
199907,119.76
199908,113.3
199909,107.45
199910,106.0
199911,104.83
199912,102.61
200001,105.21
200002,109.34
200003,106.62
200004,105.35
200005,108.13
200006,106.13
200007,107.9
200008,108.02
200009,106.75
200010,108.34
200011,108.87
200012,112.21
200101,117.1
200102,116.1
200103,121.21
200104,123.77
200105,121.83
200106,122.19
200107,124.63
200108,121.53
200109,118.91
200110,121.32
200111,122.33
200112,127.32
200201,132.66
200202,133.53
200203,131.15
200204,131.01
200205,126.39
200206,123.44
200207,118.08
200208,119.03
200209,120.49
200210,123.88
200211,121.54
200212,122.17
200301,118.67
200302,119.29
200303,118.49
200304,119.82
200305,117.26
200306,118.27
200307,118.65
200308,118.81
200309,115.09
200310,109.58
200311,109.18
200312,107.87
200401,106.39
200402,106.54
200403,108.57
200404,107.31
200405,112.27
200406,109.45
200407,109.34
200408,110.41
200409,110.05
200410,108.9
200411,104.86
200412,103.82
200501,103.27
200502,104.84
200503,105.3
200504,107.35
200505,106.94
200506,108.62
200507,111.94
200508,110.65
200509,111.03
200510,114.84
200511,118.45
200512,118.6
200601,115.33
200602,117.81
200603,117.31
200604,117.13
200605,111.53
200606,114.57
200607,115.59
200608,115.86
200609,117.02
200610,118.59
200611,117.33
200612,117.26
200701,120.59
200702,120.49
200703,117.29
200704,118.81
200705,120.77
200706,122.64
200707,121.56
200708,116.74
200709,115.01
200710,115.77
200711,111.24
200712,112.28
200801,107.6
200802,107.18
200803,100.83
200804,102.41
200805,104.11
200806,106.86
200807,106.76
200808,109.24
200809,106.71
200810,100.2
200811,96.89
200812,91.21
200901,90.35
200902,92.53
200903,97.83
200904,98.92
200905,96.43
200906,96.58
200907,94.49
200908,94.9
200909,91.4
200910,90.28
200911,89.11
200912,89.52
201001,91.26
201002,90.28
201003,90.56
201004,93.43
201005,91.79
201006,90.89
201007,87.67
201008,85.44
