対象品目コード,対象品目名,候補品目コード,候補品目名,根拠
PRCG20_1200150001,処理牛乳,PRCG20_1202050005,原乳,主原料の生乳
PRCG20_1200150001,処理牛乳,PRCG20_1200150036,砂糖,加糖乳製品の副原料
PRCG20_1200150001,処理牛乳,PRCG20_2601050003,ミルクカートン用紙,紙容器の包装材
PRCG20_1200150001,処理牛乳,PRCG20_1202250001,事業用電力,殺菌・冷却工程の電力
PRCG20_1200150001,処理牛乳,PRCG20_1200650007,Ｂ重油・Ｃ重油,加熱工程の燃料
PRCG20_1200150002,乳飲料・乳酸菌飲料,PRCG20_1202050005,原乳,主原料の生乳
PRCG20_1200150002,乳飲料・乳酸菌飲料,PRCG20_1200150036,砂糖,加糖乳製品の副原料
PRCG20_1200150002,乳飲料・乳酸菌飲料,PRCG20_2601050003,ミルクカートン用紙,紙容器の包装材
PRCG20_1200150002,乳飲料・乳酸菌飲料,PRCG20_1202250001,事業用電力,殺菌・冷却工程の電力
PRCG20_1200150002,乳飲料・乳酸菌飲料,PRCG20_1200650007,Ｂ重油・Ｃ重油,加熱工程の燃料
PRCG20_1200150003,粉乳,PRCG20_1202050005,原乳,主原料の生乳
PRCG20_1200150003,粉乳,PRCG20_1200150036,砂糖,加糖乳製品の副原料
PRCG20_1200150003,粉乳,PRCG20_2601050003,ミルクカートン用紙,紙容器の包装材
PRCG20_1200150003,粉乳,PRCG20_1202250001,事業用電力,殺菌・冷却工程の電力
PRCG20_1200150003,粉乳,PRCG20_1200650007,Ｂ重油・Ｃ重油,加熱工程の燃料
PRCG20_1200150004,バター,PRCG20_1202050005,原乳,主原料の生乳
PRCG20_1200150004,バター,PRCG20_1200150036,砂糖,加糖乳製品の副原料
PRCG20_1200150004,バター,PRCG20_2601050003,ミルクカートン用紙,紙容器の包装材
PRCG20_1200150004,バター,PRCG20_1202250001,事業用電力,殺菌・冷却工程の電力
PRCG20_1200150004,バター,PRCG20_1200650007,Ｂ重油・Ｃ重油,加熱工程の燃料
PRCG20_1200150005,チーズ,PRCG20_1202050005,原乳,主原料の生乳
PRCG20_1200150005,チーズ,PRCG20_2600150001,チーズ,輸入ナチュラルチーズ原料
PRCG20_1200150005,チーズ,PRCG20_1200550005,塩,副原料
PRCG20_1200150005,チーズ,PRCG20_1202250001,事業用電力,熟成・冷蔵の電力
PRCG20_1200150006,生クリーム,PRCG20_1202050005,原乳,主原料の生乳
PRCG20_1200150006,生クリーム,PRCG20_1200150036,砂糖,加糖乳製品の副原料
PRCG20_1200150006,生クリーム,PRCG20_2601050003,ミルクカートン用紙,紙容器の包装材
PRCG20_1200150006,生クリーム,PRCG20_1202250001,事業用電力,殺菌・冷却工程の電力
PRCG20_1200150006,生クリーム,PRCG20_1200650007,Ｂ重油・Ｃ重油,加熱工程の燃料
PRCG20_1200150007,アイスクリーム,PRCG20_1202050005,原乳,主原料の生乳
PRCG20_1200150007,アイスクリーム,PRCG20_1200150006,生クリーム,乳脂肪原料
PRCG20_1200150007,アイスクリーム,PRCG20_1200150036,砂糖,甘味原料
PRCG20_1200150007,アイスクリーム,PRCG20_1202250001,事業用電力,冷凍保管の電力
PRCG20_1200150008,ヨーグルト,PRCG20_1202050005,原乳,主原料の生乳
PRCG20_1200150008,ヨーグルト,PRCG20_1200150036,砂糖,加糖乳製品の副原料
PRCG20_1200150008,ヨーグルト,PRCG20_2601050003,ミルクカートン用紙,紙容器の包装材
PRCG20_1200150008,ヨーグルト,PRCG20_1202250001,事業用電力,殺菌・冷却工程の電力
PRCG20_1200150008,ヨーグルト,PRCG20_1200650007,Ｂ重油・Ｃ重油,加熱工程の燃料
PRCG20_1200150009,肉製品,PRCG20_1202050008,豚肉,ハム・ソーセージの主原料
PRCG20_1200150009,肉製品,PRCG20_1202050007,牛肉,食肉加工の原料
PRCG20_1200150009,肉製品,PRCG20_1202050009,鶏肉,食肉加工の原料
PRCG20_1200150009,肉製品,PRCG20_2600150029,豚肉,輸入豚肉原料
PRCG20_1200150009,肉製品,PRCG20_2600150028,牛肉,輸入牛肉原料
PRCG20_1200150009,肉製品,PRCG20_1200150049,香辛料,調味用副原料
PRCG20_1200150010,水産びん・かん詰,PRCG20_1201150012,食缶,缶容器
PRCG20_1200150010,水産びん・かん詰,PRCG20_1200150040,植物油脂（除混合植物油脂）,油漬け用の油脂
PRCG20_1200150010,水産びん・かん詰,PRCG20_1200650006,Ａ重油,漁船燃料経由の魚価コスト
PRCG20_1200150010,水産びん・かん詰,PRCG20_1202250001,事業用電力,加工工場の電力
PRCG20_1200150011,ねり製品,PRCG20_1200550005,塩,すり身練成の副原料
PRCG20_1200150011,ねり製品,PRCG20_1200150037,でん粉,つなぎのでん粉
