code,kind,level,depth,name,has_link,group_path
PRCG20_2200000000,domestic_tax,総平均,0,総平均,False,
PRCG20_2200010001,domestic_tax,大類別,0,工業製品,False,
PRCG20_2200120001,domestic_tax,類別,1,飲食料品,False,工業製品
PRCG20_2200130001,domestic_tax,小類別,2,食料品,False,工業製品>飲食料品
PRCG20_2200140001,domestic_tax,商品群,3,酪農品,False,工業製品>飲食料品>食料品
PRCG20_2200150001,domestic_tax,品目,4,処理牛乳,True,工業製品>飲食料品>食料品>酪農品
PRCG20_2200150002,domestic_tax,品目,4,乳飲料・乳酸菌飲料,False,工業製品>飲食料品>食料品>酪農品
PRCG20_2200150003,domestic_tax,品目,4,粉乳,True,工業製品>飲食料品>食料品>酪農品
PRCG20_2200150004,domestic_tax,品目,4,バター,True,工業製品>飲食料品>食料品>酪農品
PRCG20_2200150005,domestic_tax,品目,4,チーズ,True,工業製品>飲食料品>食料品>酪農品
PRCG20_2200150006,domestic_tax,品目,4,生クリーム,True,工業製品>飲食料品>食料品>酪農品
PRCG20_2200150007,domestic_tax,品目,4,アイスクリーム,True,工業製品>飲食料品>食料品>酪農品
PRCG20_2200150008,domestic_tax,品目,4,ヨーグルト,True,工業製品>飲食料品>食料品>酪農品
PRCG20_2200140002,domestic_tax,商品群,3,その他の畜産食料品,False,工業製品>飲食料品>食料品
PRCG20_2200150009,domestic_tax,品目,4,肉製品,True,工業製品>飲食料品>食料品>その他の畜産食料品
PRCG20_2200140003,domestic_tax,商品群,3,水産びん・かん詰,False,工業製品>飲食料品>食料品
PRCG20_2200150010,domestic_tax,品目,4,水産びん・かん詰,True,工業製品>飲食料品>食料品>水産びん・かん詰
PRCG20_2200140004,domestic_tax,商品群,3,ねり製品,False,工業製品>飲食料品>食料品
PRCG20_2200150011,domestic_tax,品目,4,ねり製品,False,工業製品>飲食料品>食料品>ねり製品
PRCG20_2200140005,domestic_tax,商品群,3,その他の水産食料品,False,工業製品>飲食料品>食料品
PRCG20_2200150012,domestic_tax,品目,4,かつおパック,False,工業製品>飲食料品>食料品>その他の水産食料品
PRCG20_2200150013,domestic_tax,品目,4,水産物漬物,False,工業製品>飲食料品>食料品>その他の水産食料品
PRCG20_2200150014,domestic_tax,品目,4,つくだ煮,True,工業製品>飲食料品>食料品>その他の水産食料品
PRCG20_2200140006,domestic_tax,商品群,3,製粉,False,工業製品>飲食料品>食料品
PRCG20_2200150015,domestic_tax,品目,4,小麦粉,True,工業製品>飲食料品>食料品>製粉
PRCG20_2200140007,domestic_tax,商品群,3,めん類,False,工業製品>飲食料品>食料品
PRCG20_2200150016,domestic_tax,品目,4,即席めん,True,工業製品>飲食料品>食料品>めん類
PRCG20_2200150017,domestic_tax,品目,4,和風めん,True,工業製品>飲食料品>食料品>めん類
PRCG20_2200150018,domestic_tax,品目,4,中華めん,True,工業製品>飲食料品>食料品>めん類
PRCG20_2200150019,domestic_tax,品目,4,洋風めん,True,工業製品>飲食料品>食料品>めん類
PRCG20_2200140008,domestic_tax,商品群,3,パン類,False,工業製品>飲食料品>食料品
PRCG20_2200150020,domestic_tax,品目,4,食パン,True,工業製品>飲食料品>食料品>パン類
PRCG20_2200150021,domestic_tax,品目,4,菓子パン,True,工業製品>飲食料品>食料品>パン類
PRCG20_2200150022,domestic_tax,品目,4,調理パン・サンドイッチ,True,工業製品>飲食料品>食料品>パン類
PRCG20_2200140009,domestic_tax,商品群,3,菓子類,False,工業製品>飲食料品>食料品
PRCG20_2200150023,domestic_tax,品目,4,洋生菓子,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200150024,domestic_tax,品目,4,和生菓子,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200150025,domestic_tax,品目,4,ビスケット類,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200150026,domestic_tax,品目,4,米菓,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200150027,domestic_tax,品目,4,キャンデー,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200150028,domestic_tax,品目,4,チョコレート,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200150029,domestic_tax,品目,4,チューインガム,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200150030,domestic_tax,品目,4,スナック菓子,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200150031,domestic_tax,品目,4,氷菓,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200150032,domestic_tax,品目,4,豆菓子,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200150033,domestic_tax,品目,4,シリアル,True,工業製品>飲食料品>食料品>菓子類
PRCG20_2200140010,domestic_tax,商品群,3,農産保存食料品,False,工業製品>飲食料品>食料品
PRCG20_2200150034,domestic_tax,品目,4,果実・野菜缶詰,False,工業製品>飲食料品>食料品>農産保存食料品
PRCG20_2200150035,domestic_tax,品目,4,漬物,True,工業製品>飲食料品>食料品>農産保存食料品
PRCG20_2200140011,domestic_tax,商品群,3,砂糖,False,工業製品>飲食料品>食料品
PRCG20_2200150036,domestic_tax,品目,4,砂糖,False,工業製品>飲食料品>食料品>砂糖
PRCG20_2200140012,domestic_tax,商品群,3,でん粉,False,工業製品>飲食料品>食料品
PRCG20_2200150037,domestic_tax,品目,4,でん粉,True,工業製品>飲食料品>食料品>でん粉
PRCG20_2200140013,domestic_tax,商品群,3,ぶどう糖・水あめ・異性化糖,False,工業製品>飲食料品>食料品
PRCG20_2200150038,domestic_tax,品目,4,ぶどう糖・水あめ,True,工業製品>飲食料品>食料品>ぶどう糖・水あめ・異性化糖
PRCG20_2200150039,domestic_tax,品目,4,異性化糖,True,工業製品>飲食料品>食料品>ぶどう糖・水あめ・異性化糖
PRCG20_2200140014,domestic_tax,商品群,3,動植物油脂,False,工業製品>飲食料品>食料品
PRCG20_2200150040,domestic_tax,品目,4,植物油脂（除混合植物油脂）,True,工業製品>飲食料品>食料品>動植物油脂
PRCG20_2200150041,domestic_tax,品目,4,混合植物油脂,True,工業製品>飲食料品>食料品>動植物油脂
PRCG20_2200150042,domestic_tax,品目,4,植物油搾かす,False,工業製品>飲食料品>食料品>動植物油脂
PRCG20_2200150043,domestic_tax,品目,4,ショートニング,True,工業製品>飲食料品>食料品>動植物油脂
PRCG20_2200150044,domestic_tax,品目,4,マーガリン,True,工業製品>飲食料品>食料品>動植物油脂
PRCG20_2200140015,domestic_tax,商品群,3,調味料,False,工業製品>飲食料品>食料品
PRCG20_2200150045,domestic_tax,品目,4,みそ,True,工業製品>飲食料品>食料品>調味料
PRCG20_2200150046,domestic_tax,品目,4,しょう油,True,工業製品>飲食料品>食料品>調味料
PRCG20_2200150047,domestic_tax,品目,4,ソース,False,工業製品>飲食料品>食料品>調味料
PRCG20_2200150048,domestic_tax,品目,4,食酢,True,工業製品>飲食料品>食料品>調味料
PRCG20_2200150049,domestic_tax,品目,4,香辛料,True,工業製品>飲食料品>食料品>調味料
PRCG20_2200150050,domestic_tax,品目,4,ルウ,True,工業製品>飲食料品>食料品>調味料
PRCG20_2200150051,domestic_tax,品目,4,うま味・風味調味料,True,工業製品>飲食料品>食料品>調味料
PRCG20_2200150052,domestic_tax,品目,4,たれ・めんつゆ,False,工業製品>飲食料品>食料品>調味料
PRCG20_2200140016,domestic_tax,商品群,3,冷凍調理食品,False,工業製品>飲食料品>食料品
PRCG20_2200150053,domestic_tax,品目,4,冷凍調理食品,True,工業製品>飲食料品>食料品>冷凍調理食品
PRCG20_2200140017,domestic_tax,商品群,3,レトルト食品,False,工業製品>飲食料品>食料品
PRCG20_2200150054,domestic_tax,品目,4,レトルト食品,True,工業製品>飲食料品>食料品>レトルト食品
PRCG20_2200140018,domestic_tax,商品群,3,そう菜・すし・弁当,False,工業製品>飲食料品>食料品
PRCG20_2200150055,domestic_tax,品目,4,そう菜,True,工業製品>飲食料品>食料品>そう菜・すし・弁当
PRCG20_2200150056,domestic_tax,品目,4,すし・弁当・おにぎり,True,工業製品>飲食料品>食料品>そう菜・すし・弁当
PRCG20_2200140019,domestic_tax,商品群,3,その他の食料品,False,工業製品>飲食料品>食料品
PRCG20_2200150057,domestic_tax,品目,4,豆腐・しみ豆腐・油揚げ類,False,工業製品>飲食料品>食料品>その他の食料品
PRCG20_2200150058,domestic_tax,品目,4,あん,True,工業製品>飲食料品>食料品>その他の食料品
PRCG20_2200150059,domestic_tax,品目,4,サプリメント,True,工業製品>飲食料品>食料品>その他の食料品
PRCG20_2200150060,domestic_tax,品目,4,こんにゃく,True,工業製品>飲食料品>食料品>その他の食料品
PRCG20_2200150061,domestic_tax,品目,4,即席みそ汁・インスタントスープ,True,工業製品>飲食料品>食料品>その他の食料品
PRCG20_2200150062,domestic_tax,品目,4,茶づけ・ふりかけ,True,工業製品>飲食料品>食料品>その他の食料品
PRCG20_2200150063,domestic_tax,品目,4,納豆,True,工業製品>飲食料品>食料品>その他の食料品
PRCG20_2200150064,domestic_tax,品目,4,パン粉,True,工業製品>飲食料品>食料品>その他の食料品
PRCG20_2200130002,domestic_tax,小類別,2,飲料,False,工業製品>飲食料品
PRCG20_2200140020,domestic_tax,商品群,3,清酒,False,工業製品>飲食料品>飲料
PRCG20_2200150065,domestic_tax,品目,4,清酒,False,工業製品>飲食料品>飲料>清酒
PRCG20_2200140021,domestic_tax,商品群,3,ビール類,False,工業製品>飲食料品>飲料
PRCG20_2200150066,domestic_tax,品目,4,ビール,True,工業製品>飲食料品>飲料>ビール類
PRCG20_2200150067,domestic_tax,品目,4,発泡酒・新ジャンル,False,工業製品>飲食料品>飲料>ビール類
PRCG20_2200140022,domestic_tax,商品群,3,ウイスキー類,False,工業製品>飲食料品>飲料
PRCG20_2200150068,domestic_tax,品目,4,ウイスキー,True,工業製品>飲食料品>飲料>ウイスキー類
PRCG20_2200140023,domestic_tax,商品群,3,その他の酒類,False,工業製品>飲食料品>飲料
PRCG20_2200150069,domestic_tax,品目,4,果実酒・チューハイ,False,工業製品>飲食料品>飲料>その他の酒類
PRCG20_2200150070,domestic_tax,品目,4,焼ちゅう,True,工業製品>飲食料品>飲料>その他の酒類
PRCG20_2200140024,domestic_tax,商品群,3,茶・コーヒー,False,工業製品>飲食料品>飲料
PRCG20_2200150071,domestic_tax,品目,4,荒茶,True,工業製品>飲食料品>飲料>茶・コーヒー
PRCG20_2200150072,domestic_tax,品目,4,緑茶,True,工業製品>飲食料品>飲料>茶・コーヒー
PRCG20_2200150073,domestic_tax,品目,4,コーヒー,False,工業製品>飲食料品>飲料>茶・コーヒー
PRCG20_2200140025,domestic_tax,商品群,3,清涼飲料,False,工業製品>飲食料品>飲料
PRCG20_2200150074,domestic_tax,品目,4,炭酸飲料,True,工業製品>飲食料品>飲料>清涼飲料
PRCG20_2200150075,domestic_tax,品目,4,ジュース,False,工業製品>飲食料品>飲料>清涼飲料
PRCG20_2200150076,domestic_tax,品目,4,コーヒー飲料,True,工業製品>飲食料品>飲料>清涼飲料
PRCG20_2200150077,domestic_tax,品目,4,茶飲料,True,工業製品>飲食料品>飲料>清涼飲料
PRCG20_2200150078,domestic_tax,品目,4,ミネラルウォーター,True,工業製品>飲食料品>飲料>清涼飲料
PRCG20_2200150079,domestic_tax,品目,4,スポーツドリンク,True,工業製品>飲食料品>飲料>清涼飲料
PRCG20_2200150080,domestic_tax,品目,4,豆乳飲料,True,工業製品>飲食料品>飲料>清涼飲料
PRCG20_2200150081,domestic_tax,品目,4,ノンアルコール飲料,True,工業製品>飲食料品>飲料>清涼飲料
PRCG20_2200140026,domestic_tax,商品群,3,製氷,False,工業製品>飲食料品>飲料
PRCG20_2200150082,domestic_tax,品目,4,人造氷,True,工業製品>飲食料品>飲料>製氷
PRCG20_2200130003,domestic_tax,小類別,2,飼料・有機質肥料,False,工業製品>飲食料品
PRCG20_2200140027,domestic_tax,商品群,3,飼料,False,工業製品>飲食料品>飼料・有機質肥料
PRCG20_2200150083,domestic_tax,品目,4,配合飼料,True,工業製品>飲食料品>飼料・有機質肥料>飼料
PRCG20_2200150084,domestic_tax,品目,4,ペットフード,True,工業製品>飲食料品>飼料・有機質肥料>飼料
PRCG20_2200130004,domestic_tax,小類別,2,たばこ,False,工業製品>飲食料品
PRCG20_2200140028,domestic_tax,商品群,3,たばこ,False,工業製品>飲食料品>たばこ
PRCG20_2200150085,domestic_tax,品目,4,たばこ,True,工業製品>飲食料品>たばこ>たばこ
PRCG20_2200220001,domestic_tax,類別,1,繊維製品,False,工業製品
PRCG20_2200230001,domestic_tax,小類別,2,繊維工業製品,False,工業製品>繊維製品
PRCG20_2200240001,domestic_tax,商品群,3,紡績糸,False,工業製品>繊維製品>繊維工業製品
PRCG20_2200250001,domestic_tax,品目,4,紡績糸,False,工業製品>繊維製品>繊維工業製品>紡績糸
PRCG20_2200240002,domestic_tax,商品群,3,織物,False,工業製品>繊維製品>繊維工業製品
PRCG20_2200250002,domestic_tax,品目,4,織物,False,工業製品>繊維製品>繊維工業製品>織物
PRCG20_2200240003,domestic_tax,商品群,3,その他の繊維工業製品,False,工業製品>繊維製品>繊維工業製品
PRCG20_2200250003,domestic_tax,品目,4,フェルト生地・不織布,True,工業製品>繊維製品>繊維工業製品>その他の繊維工業製品
PRCG20_2200230002,domestic_tax,小類別,2,衣服・その他繊維既製品,False,工業製品>繊維製品
